example_num,ids
1,[5]
2,"[5, 23]"
3,"[5, 38, 11]"
4,"[5, 14, 23, 37]"
5,"[5, 29, 21, 56, 52]"
6,"[5, 46, 38, 23, 11, 39]"
7,"[5, 7, 32, 21, 35, 11, 52]"
8,"[5, 24, 12, 43, 8, 4, 22, 25]"
9,"[5, 0, 29, 48, 21, 23, 56, 22, 52]"
10,"[5, 0, 29, 48, 21, 23, 56, 22, 52, 10]"
11,"[5, 13, 46, 14, 38, 60, 23, 4, 11, 37, 39]"
12,"[5, 13, 46, 14, 38, 60, 23, 4, 11, 37, 39, 40]"
13,"[5, 51, 7, 29, 32, 38, 21, 8, 35, 56, 11, 55, 52]"
14,"[5, 51, 7, 29, 32, 38, 21, 8, 35, 56, 11, 55, 52, 54]"
15,"[5, 51, 7, 29, 32, 38, 21, 8, 35, 56, 11, 55, 52, 54, 15]"
16,"[5, 47, 0, 45, 29, 14, 48, 43, 21, 18, 23, 6, 56, 58, 22, 37]"
17,"[5, 47, 0, 45, 29, 14, 48, 43, 21, 18, 23, 6, 56, 58, 22, 37, 52]"
18,"[5, 47, 0, 45, 29, 14, 48, 43, 21, 18, 23, 6, 56, 58, 22, 37, 52, 53]"
19,"[5, 47, 0, 45, 29, 14, 48, 43, 21, 18, 23, 6, 56, 58, 22, 37, 52, 53, 10]"
20,"[5, 47, 0, 45, 29, 14, 48, 43, 21, 18, 23, 6, 56, 58, 22, 37, 52, 53, 10, 19]"
21,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11]"
22,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22]"
23,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55]"
24,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55, 31]"
25,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55, 31, 52]"
26,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55, 31, 52, 39]"
27,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55, 31, 52, 39, 54]"
28,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55, 31, 52, 39, 54, 10]"
29,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55, 31, 52, 39, 54, 10, 15]"
30,"[5, 28, 51, 0, 7, 46, 29, 12, 32, 48, 38, 44, 21, 16, 8, 23, 35, 3, 56, 49, 11, 22, 55, 31, 52, 39, 54, 10, 15, 1]"
31,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23]"
32,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30]"
33,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35]"
34,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6]"
35,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3]"
36,"[5, 59, 28, 47, 51, 13, 0, 24, 7, 45, 46, 42, 29, 9, 12, 14, 32, 57, 48, 17, 38, 43, 44, 33, 21, 60, 16, 18, 8, 41, 23, 30, 35, 6, 3, 4]"
