program_idx,file_path,idx,src,dst,src_code,dst_code,reason,offset,sa_lb_direct,sa_lb,da_lb,dst_name_match,dst_funcname,actual_lb,actual_lb_trans,is_static,src_class,mvs,src_ancestors,src_descendants,dst_class,dst_ancestors,dst_descendants
1,../replication_package/raw_data/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/wala0cfa.csv,2,fr/inria/optimization/cmaes/PrintfFormat.sprintf:(I)Ljava/lang/String;,fr/inria/optimization/cmaes/PrintfFormat$ConversionSpecification.internalsprintf:(I)Ljava/lang/String;,"public String sprintf(int x) throws IllegalArgumentException {
    Enumeration e = vFmt.elements();
    ConversionSpecification cs = null;
    char c = 0;
    StringBuffer sb = new StringBuffer();
    while (e.hasMoreElements()) {
        cs = (ConversionSpecification) e.nextElement();
        c = cs.getConversionCharacter();
        if (c == '\0')
            sb.append(cs.getLiteral());
        else if (c == '%')
            sb.append(""%"");
        else
            sb.append(cs.internalsprintf(x));
    }
    return sb.toString();
}","String internalsprintf(int s) throws IllegalArgumentException {
    String s2 = """";
    switch(conversionCharacter) {
        case 'd':
        case 'i':
            if (optionalh)
                s2 = printDFormat((short) s);
            else if (optionall)
                s2 = printDFormat((long) s);
            else
                s2 = printDFormat(s);
            break;
        case 'x':
        case 'X':
            if (optionalh)
                s2 = printXFormat((short) s);
            else if (optionall)
                s2 = printXFormat((long) s);
            else
                s2 = printXFormat(s);
            break;
        case 'o':
            if (optionalh)
                s2 = printOFormat((short) s);
            else if (optionall)
                s2 = printOFormat((long) s);
            else
                s2 = printOFormat(s);
            break;
        case 'c':
        case 'C':
            s2 = printCFormat((char) s);
            break;
        default:
            throw new IllegalArgumentException(""Cannot format a int with a format using a "" + conversionCharacter + "" conversion character."");
    }
    return s2;
}",invocation_new,87,1,1,1,TRUE,internalsprintf,1,1,0,fr.inria.optimization.cmaes.PrintfFormat,,[],[],fr.inria.optimization.cmaes.PrintfFormat$ConversionSpecification,[],[]
1,../replication_package/raw_data/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/wala0cfa.csv,5,fr/inria/optimization/cmaes/CMAEvolutionStrategy.readProperties:(Ljava/lang/String;)Ljava/util/Properties;,fr/inria/optimization/cmaes/IntDouble.compare:(Ljava/lang/Object;Ljava/lang/Object;)I,"public Properties readProperties(String fileName) {
    this.propertiesFileName = fileName;
    try {
        java.io.FileInputStream fis = new java.io.FileInputStream(fileName);
        properties.load(fis);
        fis.close();
    } catch (java.io.IOException e) {
        warning(""File '"" + fileName + ""' not found, no options read"");
    }
    setFromProperties(properties);
    return properties;
}","class IntDouble { int compare ( Object a0, Object a1, ) { return int1; }",trans,10,0,1,0,FALSE,compare,0,0,0,fr.inria.optimization.cmaes.CMAEvolutionStrategy,"public final java.lang.String versionNumber;, public fr.inria.optimization.cmaes.CMAOptions options;, public fr.inria.optimization.cmaes.CMAParameters parameters;, public fr.inria.optimization.cmaes.CMAEvolutionStrategy$StopCondition stopConditions;, java.util.Random rand;, final fr.inria.optimization.cmaes.CMAEvolutionStrategy$MyMath math;, protected fr.inria.optimization.cmaes.CMAEvolutionStrategy$FitnessCollector fit;, java.lang.String propertiesFileName;, java.util.Properties properties;, fr.inria.optimization.cmaes.CMAEvolutionStrategy$Timing timings;",[java.io.Serializable],[],fr.inria.optimization.cmaes.IntDouble,[java.util.Comparator<fr.inria.optimization.cmaes.IntDouble>],[]
1,../replication_package/raw_data/url433bec1e56_sarobe_DifficultyInvestigation_tgz-pJ8-fr_inria_optimization_cmaes_examples_CMAExample1J8/wala0cfa.csv,7,fr/inria/optimization/cmaes/CMAEvolutionStrategy.getPrintLine:()Ljava/lang/String;,fr/inria/optimization/cmaes/PrintfFormat.<init>:(Ljava/util/Locale;Ljava/lang/String;)V,"public String getPrintLine() {
    String s;
    if (state < 0)
        s = new String(new PrintfFormat(Locale.US, "" %4d"").sprintf(countiter) + new PrintfFormat(Locale.US, ""(%2d), "").sprintf(0) + new PrintfFormat(Locale.US, ""%6.0d: "").sprintf(counteval));
    else
        s = new String(new PrintfFormat(Locale.US, "" %4d"").sprintf(countiter) + new PrintfFormat(Locale.US, ""(%2d), "").sprintf(idxRecentOffspring + 1) + new PrintfFormat(Locale.US, ""%6.0d: "").sprintf(counteval) + new PrintfFormat(Locale.US, ""%.16e "").sprintf(recentFunctionValue) + new PrintfFormat(Locale.US, ""(%+.0e,"").sprintf(getBestFunctionValue() - recentFunctionValue) + new PrintfFormat(Locale.US, ""%.0e) | "").sprintf(recentMaxFunctionValue - recentFunctionValue) + new PrintfFormat(Locale.US, ""%2d:"").sprintf(math.maxidx(math.diag(C))) + new PrintfFormat(Locale.US, ""%8.1e "").sprintf(sigma * maxsqrtdiagC) + new PrintfFormat(Locale.US, ""%2d:"").sprintf(math.minidx(math.diag(C))) + new PrintfFormat(Locale.US, ""%8.1e "").sprintf(sigma * minsqrtdiagC) + new PrintfFormat(Locale.US, ""| %6.1e "").sprintf(sigma * math.min(diagD)) + new PrintfFormat(Locale.US, ""%6.1e "").sprintf(sigma) + new PrintfFormat(Locale.US, ""%6.2f"").sprintf(axisratio) + new PrintfFormat(Locale.US, ""   | %4.1f "").sprintf((System.currentTimeMillis() - timings.start) / 1000.) + new PrintfFormat(Locale.US, ""%4.1f "").sprintf(timings.eigendecomposition / 1000.));
    return s;
}","public PrintfFormat(Locale locale, String fmtArg) throws IllegalArgumentException {
    dfs = new DecimalFormatSymbols(locale);
    int ePos = 0;
    ConversionSpecification sFmt = null;
    String unCS = this.nonControl(fmtArg, 0);
    if (unCS != null) {
        sFmt = new ConversionSpecification();
        sFmt.setLiteral(unCS);
        vFmt.addElement(sFmt);
    }
    while (cPos != -1 && cPos < fmtArg.length()) {
        for (ePos = cPos + 1; ePos < fmtArg.length(); ePos++) {
            char c = 0;
            c = fmtArg.charAt(ePos);
            if (c == 'i')
                break;
            if (c == 'd')
                break;
            if (c == 'f')
                break;
            if (c == 'g')
                break;
            if (c == 'G')
                break;
            if (c == 'o')
                break;
            if (c == 'x')
                break;
            if (c == 'X')
                break;
            if (c == 'e')
                break;
            if (c == 'E')
                break;
            if (c == 'c')
                break;
            if (c == 's')
                break;
            if (c == '%')
                break;
        }
        ePos = Math.min(ePos + 1, fmtArg.length());
        sFmt = new ConversionSpecification(fmtArg.substring(cPos, ePos));
        vFmt.addElement(sFmt);
        unCS = this.nonControl(fmtArg, ePos);
        if (unCS != null) {
            sFmt = new ConversionSpecification();
            sFmt.setLiteral(unCS);
            vFmt.addElement(sFmt);
        }
    }
}",invocation_constructor,30,1,1,0,TRUE,PrintfFormat,1,1,0,fr.inria.optimization.cmaes.CMAEvolutionStrategy,"public final java.lang.String versionNumber;, public fr.inria.optimization.cmaes.CMAOptions options;, public fr.inria.optimization.cmaes.CMAParameters parameters;, public fr.inria.optimization.cmaes.CMAEvolutionStrategy$StopCondition stopConditions;, java.util.Random rand;, final fr.inria.optimization.cmaes.CMAEvolutionStrategy$MyMath math;, protected fr.inria.optimization.cmaes.CMAEvolutionStrategy$FitnessCollector fit;, java.lang.String propertiesFileName;, java.util.Properties properties;, fr.inria.optimization.cmaes.CMAEvolutionStrategy$Timing timings;",[java.io.Serializable],[],fr.inria.optimization.cmaes.PrintfFormat,[],[]
2,../replication_package/raw_data/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/wala0cfa.csv,45,es/dagaren/gladiator/representation/BitboardPosition.doMove:(Les/dagaren/gladiator/representation/Movement;)Z,es/dagaren/gladiator/representation/IrreversibleState.<init>:()V,"public boolean doMove(Movement mov) {
    IrreversibleState state = new IrreversibleState();
    state.enPassantSquare = this.enPassantSquare;
    state.fiftyMovesCounter = this.fiftyMovesRuleIndex;
    state.longCastling[Colour.WHITE.index] = this.whiteCastlingLong;
    state.longCastling[Colour.BLACK.index] = this.blackCastlingLong;
    state.shortCastling[Colour.WHITE.index] = this.whiteCastlingShort;
    state.shortCastling[Colour.BLACK.index] = this.blackCastlingShort;
    stateStack.addLast(state);
    resetMoves();
    Piece sp = mov.getSourcePiece();
    Piece dp = mov.getDestinationPiece();
    Piece pp = mov.getPromotionPiece();
    Square ss = mov.getSource();
    Square ds = mov.getDestination();
    removePiece(ss);
    removePiece(ds);
    if (mov.isInPassant()) {
        removePiece(enPassantSquareSource[ds.index]);
    }
    if (pp != null) {
        putPiece(pp, ds);
    } else {
        putPiece(sp, ds);
    }
    if (sp == Piece.WHITE_KING && ss == Square.e1) {
        if (ds == Square.g1) {
            removePiece(Square.h1);
            putPiece(Piece.WHITE_ROOK, Square.f1);
        } else if (ds == Square.c1) {
            removePiece(Square.a1);
            putPiece(Piece.WHITE_ROOK, Square.d1);
        }
    } else if (sp == Piece.BLACK_KING && ss == Square.e8) {
        if (ds == Square.g8) {
            removePiece(Square.h8);
            putPiece(Piece.BLACK_ROOK, Square.f8);
        } else if (ds == Square.c8) {
            removePiece(Square.a8);
            putPiece(Piece.BLACK_ROOK, Square.d8);
        }
    }
    if (sp.genericPiece == GenericPiece.KING) {
        if (sp == Piece.WHITE_KING) {
            this.setCastlingLong(Colour.WHITE, false);
            this.setCastlingShort(Colour.WHITE, false);
        } else if (sp == Piece.BLACK_KING) {
            this.setCastlingLong(Colour.BLACK, false);
            this.setCastlingShort(Colour.BLACK, false);
        }
    } else if (sp.genericPiece == GenericPiece.ROOK) {
        if (sp == Piece.WHITE_ROOK) {
            if (ss == Square.a1) {
                this.setCastlingLong(Colour.WHITE, false);
            } else if (ss == Square.h1) {
                this.setCastlingShort(Colour.WHITE, false);
            }
        } else if (sp == Piece.BLACK_ROOK) {
            if (ss == Square.a8) {
                this.setCastlingLong(Colour.BLACK, false);
            } else if (ss == Square.h8) {
                this.setCastlingShort(Colour.BLACK, false);
            }
        }
    }
    if (dp != null && dp.genericPiece == GenericPiece.ROOK) {
        if (ds == Square.a1 && this.whiteCastlingLong) {
            this.setCastlingLong(Colour.WHITE, false);
        } else if (ds == Square.a8 && this.blackCastlingLong) {
            this.setCastlingLong(Colour.BLACK, false);
        } else if (ds == Square.h1 && this.whiteCastlingShort) {
            this.setCastlingShort(Colour.WHITE, false);
        } else if (ds == Square.h8 && this.blackCastlingShort) {
            this.setCastlingShort(Colour.BLACK, false);
        }
    }
    this.setEnPassantSquare(null);
    if (sp.genericPiece == GenericPiece.PAWN) {
        if (sp == Piece.WHITE_PAWN) {
            if (ss.getRank() == Rank._2 && ds.getRank() == Rank._4) {
                this.setEnPassantSquare(enPassantSquareDestination[ds.index]);
            }
        } else {
            if (ss.getRank() == Rank._7 && ds.getRank() == Rank._5) {
                this.setEnPassantSquare(enPassantSquareDestination[ds.index]);
            }
        }
    }
    if (dp != null || sp.genericPiece == GenericPiece.PAWN || mov.isInPassant()) {
        this.fiftyMovesRuleIndex = 0;
    } else {
        this.fiftyMovesRuleIndex++;
    }
    setTurn(turn.opposite());
    Integer keyValue = gamePositionsHash.get(zobristKey.getKey());
    if (keyValue != null) {
        gamePositionsHash.put(zobristKey.getKey(), keyValue + 1);
    } else {
        gamePositionsHash.put(zobristKey.getKey(), 1);
    }
    updateAttackedFromFull();
    return true;
}",class IrreversibleState { void <init> ( ) { return void1; },invocation_constructor,4,1,1,0,TRUE,IrreversibleState,1,1,0,es.dagaren.gladiator.representation.BitboardPosition,"public static es.dagaren.gladiator.representation.Square[] square;, public static es.dagaren.gladiator.representation.Square[][] bbCastlingShortSquares;, public static es.dagaren.gladiator.representation.Square[][] castlingShortKingSquares;, public static es.dagaren.gladiator.representation.Square[] castlingSourceSquares;, public static es.dagaren.gladiator.representation.Square[] castlingLongDestinationSquares;, public static es.dagaren.gladiator.representation.Square[] castlingShortDestinationSquares;, public static es.dagaren.gladiator.representation.Square[] enPassantSquareDestination;, public static es.dagaren.gladiator.representation.Square[] enPassantSquareSource;, protected java.util.LinkedList<es.dagaren.gladiator.representation.IrreversibleState> stateStack;, es.dagaren.gladiator.representation.Piece[] pieceInSquare;, protected java.util.List<es.dagaren.gladiator.representation.Movement> movesList;, es.dagaren.gladiator.representation.Piece piece;, es.dagaren.gladiator.representation.Piece capture;, es.dagaren.gladiator.representation.Movement mov;, es.dagaren.gladiator.representation.GenericPiece genericPiece;, es.dagaren.gladiator.representation.Piece squarePiece;, es.dagaren.gladiator.representation.Piece capturePiece;, es.dagaren.gladiator.representation.Square sourceSquare;, es.dagaren.gladiator.representation.Square destinationSquare;",[es.dagaren.gladiator.representation.AbstractPosition][es.dagaren.gladiator.representation.Position],[],es.dagaren.gladiator.representation.IrreversibleState,[],[]
2,../replication_package/raw_data/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/wala0cfa.csv,47,es/dagaren/gladiator/main/Main.executeXboard:()V,es/dagaren/gladiator/communication/ConsoleCommandController.start:()V,"public static void executeXboard() {
    Engine gladiatorEngine = new Engine();
    CommandController commandController = new ConsoleCommandController();
    EngineController xboardController = new EngineController();
    xboardController.setCommandController(commandController);
    EngineAdapter xboardAdapter = new EngineAdapter();
    xboardAdapter.setEngine(gladiatorEngine);
    xboardAdapter.setEngineController(xboardController);
    xboardController.setReceiver(xboardAdapter);
    commandController.start();
    gladiatorEngine.waitForFinish();
    commandController.stop();
    logger.info(""Terminaci normal de programa"");
}","@Override
public synchronized void start() {
    if (stopped) {
        t = new Thread(this);
        t.setDaemon(true);
        t.start();
    }
}",invocation_new,53,1,1,1,TRUE,start,1,1,1,es.dagaren.gladiator.main.Main,,[],[],es.dagaren.gladiator.communication.ConsoleCommandController,[es.dagaren.gladiator.communication.CommandController][java.lang.Runnable],[]
2,../replication_package/raw_data/url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8/wala0cfa.csv,48,es/dagaren/gladiator/main/Main.executeXboard:()V,es/dagaren/gladiator/communication/ConsoleCommandController.stop:()V,"public static void executeXboard() {
    Engine gladiatorEngine = new Engine();
    CommandController commandController = new ConsoleCommandController();
    EngineController xboardController = new EngineController();
    xboardController.setCommandController(commandController);
    EngineAdapter xboardAdapter = new EngineAdapter();
    xboardAdapter.setEngine(gladiatorEngine);
    xboardAdapter.setEngineController(xboardController);
    xboardController.setReceiver(xboardAdapter);
    commandController.start();
    gladiatorEngine.waitForFinish();
    commandController.stop();
    logger.info(""Terminaci normal de programa"");
}","@Override
public synchronized void stop() {
    stopped = true;
    if (t != null) {
        t.interrupt();
    }
}",invocation_new,61,1,1,0,TRUE,stop,1,1,1,es.dagaren.gladiator.main.Main,,[],[],es.dagaren.gladiator.communication.ConsoleCommandController,[es.dagaren.gladiator.communication.CommandController][java.lang.Runnable],[]
3,../replication_package/raw_data/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/wala0cfa.csv,239,gui/ChooseStrategy.actionPerformed:(Ljava/awt/event/ActionEvent;)V,gui/ResultDisplay$1.actionPerformed:(Ljava/awt/event/ActionEvent;)V,"public void actionPerformed(ActionEvent e) {
    if (ok == e.getSource()) {
        try {
            Double.parseDouble(threshold.getText());
        } catch (NumberFormatException e1) {
            threshold.setText(""Please enter a number"");
            return;
        }
        thresholdno = Double.parseDouble(threshold.getText());
        try {
            Integer.parseInt(stockAmount.getText());
        } catch (NumberFormatException e1) {
            stockAmount.setText(""Please enter a number"");
            return;
        }
        stockNumber = Integer.parseInt(stockAmount.getText());
        setVisible(false);
        run = true;
    } else if (cancel == e.getSource()) {
        setVisible(false);
        run = false;
    }
}","class ResultDisplay$ { void actionPerformed ( ActionEvent a0, ) { return void1; }",listener,44,0,1,0,FALSE,actionPerformed,0,1,0,gui.ChooseStrategy,,[javax.swing.JDialog][java.awt.event.ActionListener],[],gui.ResultDisplay$1,[java.awt.event.ActionListener],[]
3,../replication_package/raw_data/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/wala0cfa.csv,245,gui/ChooseStrategy.actionPerformed:(Ljava/awt/event/ActionEvent;)V,gui/FinalOrderbookTable.isCellEditable:(II)Z,"public void actionPerformed(ActionEvent e) {
    if (ok == e.getSource()) {
        try {
            Double.parseDouble(threshold.getText());
        } catch (NumberFormatException e1) {
            threshold.setText(""Please enter a number"");
            return;
        }
        thresholdno = Double.parseDouble(threshold.getText());
        try {
            Integer.parseInt(stockAmount.getText());
        } catch (NumberFormatException e1) {
            stockAmount.setText(""Please enter a number"");
            return;
        }
        stockNumber = Integer.parseInt(stockAmount.getText());
        setVisible(false);
        run = true;
    } else if (cancel == e.getSource()) {
        setVisible(false);
        run = false;
    }
}","public boolean isCellEditable(int row, int col) {
    return false;
}",listener,44,0,1,0,FALSE,isCellEditable,0,1,0,gui.ChooseStrategy,,[javax.swing.JDialog][java.awt.event.ActionListener],[],gui.FinalOrderbookTable,[javax.swing.table.AbstractTableModel],[]
3,../replication_package/raw_data/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/wala0cfa.csv,255,gui/ChooseStrategy.actionPerformed:(Ljava/awt/event/ActionEvent;)V,org/jfree/chart/ChartPanel.paintComponent:(Ljava/awt/Graphics;)V,"public void actionPerformed(ActionEvent e) {
    if (ok == e.getSource()) {
        try {
            Double.parseDouble(threshold.getText());
        } catch (NumberFormatException e1) {
            threshold.setText(""Please enter a number"");
            return;
        }
        thresholdno = Double.parseDouble(threshold.getText());
        try {
            Integer.parseInt(stockAmount.getText());
        } catch (NumberFormatException e1) {
            stockAmount.setText(""Please enter a number"");
            return;
        }
        stockNumber = Integer.parseInt(stockAmount.getText());
        setVisible(false);
        run = true;
    } else if (cancel == e.getSource()) {
        setVisible(false);
        run = false;
    }
}","class ChartPanel { void paintComponent ( Graphics a0, ) { return void1; }",listener,44,0,1,0,FALSE,paintComponent,0,1,0,gui.ChooseStrategy,,[javax.swing.JDialog][java.awt.event.ActionListener],[],org.jfree.chart.ChartPanel,,
3,../replication_package/raw_data/url4df616fce9_s3e0n1g1_prototype3_tgz-pJ8-Trading_Engine_MainJ8/wala0cfa.csv,1998,gui/StrategySelected.<init>:(Ljava/util/LinkedList;Ljava/util/LinkedList;Ljava/util/LinkedList;Ljava/util/LinkedList;Ljava/util/LinkedList;Ljava/util/LinkedList;)V,org/jfree/text/TextLine.hashCode:()I,"public StrategySelected(LinkedList<String> runResult, LinkedList<ResultData> allTrades, LinkedList<GraphData> allFirstAskList, LinkedList<GraphData> allFirstBidList, LinkedList<GraphData> allStraAsk, LinkedList<GraphData> allStraBid) {
    strategyResult = runResult;
    allCompletedTrade = allTrades;
    askFirstList = allFirstAskList;
    bidFirstList = allFirstBidList;
    strategyAsk = allStraAsk;
    strategyBid = allStraBid;
    JTabbedPane jtb = new JTabbedPane();
    Container con = this.getContentPane();
    con.add(jtb);
    setTitle(""Momentum strategy used"");
    setSize(800, 600);
    setLocationRelativeTo(null);
    setResizable(false);
    JMenuBar menubar = new JMenuBar();
    JMenu file = new JMenu(""File"");
    JMenuItem quit = new JMenuItem(""Close"");
    menubar.add(file);
    file.add(quit);
    setJMenuBar(menubar);
    jtb.addTab(""Analysis"", analysisPanel());
    jtb.addTab(""All Trades"", orderbookPanel());
    jtb.addTab(""Strategy Trades"", strategyTradePanel());
    jtb.addTab(""Strategy Graph"", graphPanel());
    jtb.addTab(""Best Price Graph"", graphPanelLines());
    quit.addActionListener(new ActionListener() {
        public void actionPerformed(ActionEvent event) {
            setVisible(false);
            dispose();
        }
    });
    setVisible(true);
}",class TextLine { int hashCode ( ) { return int1; },trans,1,0,1,0,FALSE,hashCode,0,0,0,gui.StrategySelected,"public javax.swing.JLabel Strategy;, public javax.swing.JLabel Threshold;, public javax.swing.JLabel LinesRead;, public javax.swing.JLabel MatchedLines;, public javax.swing.JLabel StrategyMatched;, public javax.swing.JLabel UpdatedLines;, public javax.swing.JLabel DeletedLines;, public javax.swing.JLabel BidList;, public javax.swing.JLabel AskList;, public javax.swing.JLabel StrategyBuy;, public javax.swing.JLabel StrategySell;, public javax.swing.JLabel StrategyEndResult;",[javax.swing.JFrame],[],org.jfree.text.TextLine,,
